index,ID,Gender,Ever_Married,Age,Graduated,Profession,Work_Experience,Spending_Score,Family_Size,Var_1,Segmentation
2484,459679,Female,No,21,No,Entertainment,1.0,Low,4.0,Cat_6,D
5207,464346,Male,Yes,55,Yes,Executive,2.0,High,3.0,Cat_6,C
4415,462325,Male,No,37,Yes,Healthcare,1.0,Low,4.0,Cat_4,B
1110,466320,Female,No,40,Yes,Engineer,9.0,Low,2.0,Cat_4,B
6933,459814,Female,No,49,Yes,Artist,0.0,Low,3.0,Cat_2,B
665,459414,Female,No,39,Yes,,8.0,Low,,Cat_6,C
4536,467954,Male,No,31,No,Healthcare,8.0,Low,4.0,Cat_6,D
2911,467064,Male,Yes,36,No,Doctor,0.0,Average,2.0,Cat_7,A
8009,464533,Male,Yes,37,No,Executive,,High,6.0,Cat_6,B
2067,459238,Female,Yes,80,Yes,Lawyer,,High,2.0,Cat_6,A
963,467361,Female,Yes,26,No,Homemaker,,Low,4.0,Cat_6,D
4708,460150,Male,No,19,No,Healthcare,0.0,Low,4.0,Cat_4,D
5857,459659,Female,,18,No,Healthcare,,Low,3.0,Cat_6,D
5106,460482,Female,Yes,30,No,Homemaker,9.0,Low,3.0,Cat_3,B
3861,466365,Female,Yes,50,,Artist,0.0,Average,3.0,Cat_2,C
2604,467021,Female,Yes,80,No,Lawyer,1.0,High,2.0,Cat_6,D
2292,459927,Female,No,27,No,Engineer,0.0,Low,2.0,Cat_3,D
7091,466674,Female,Yes,57,Yes,Artist,0.0,High,2.0,Cat_6,C
1419,461168,Female,Yes,29,No,Engineer,5.0,Average,2.0,Cat_3,A
4000,462833,Male,Yes,33,No,Doctor,0.0,Average,5.0,Cat_6,D
4916,459320,Male,Yes,26,Yes,Executive,0.0,Low,3.0,Cat_6,D
7810,459042,Female,Yes,41,Yes,Engineer,1.0,Average,3.0,Cat_6,C
4301,464227,Male,Yes,89,Yes,Lawyer,0.0,High,2.0,Cat_6,C
7275,461302,Male,No,20,No,Healthcare,0.0,Low,4.0,Cat_6,D
3357,462976,Female,Yes,50,Yes,Engineer,0.0,Average,2.0,Cat_6,C
685,465898,Female,No,37,Yes,Artist,12.0,Low,2.0,Cat_6,A
3381,464844,Female,No,31,Yes,Healthcare,1.0,Low,4.0,Cat_4,D
3730,460159,Female,No,18,No,Entertainment,1.0,Low,7.0,Cat_2,B
893,462953,Female,Yes,45,Yes,Artist,1.0,Average,4.0,Cat_6,B
1739,467351,Male,Yes,41,No,Artist,8.0,Average,2.0,Cat_6,C
7150,463983,Female,Yes,36,No,Engineer,0.0,Average,2.0,Cat_4,A
317,466573,Female,No,37,Yes,Artist,5.0,Low,2.0,Cat_6,B
5844,459017,Male,Yes,50,Yes,Executive,,High,6.0,Cat_6,C
4880,467325,Female,Yes,72,Yes,Lawyer,1.0,High,2.0,Cat_6,B
2261,463374,Female,No,19,No,Healthcare,0.0,Low,3.0,Cat_6,D
412,459462,Male,Yes,66,Yes,Artist,0.0,High,2.0,Cat_6,B
2086,461858,Male,No,31,No,Entertainment,1.0,Low,7.0,Cat_4,D
444,467780,Male,Yes,47,Yes,Artist,,Low,3.0,Cat_6,A
4320,466868,Male,No,26,Yes,Doctor,4.0,Low,3.0,Cat_2,A
3105,466133,Female,No,21,No,Healthcare,7.0,Low,5.0,Cat_2,D
4939,460135,Female,No,31,Yes,Healthcare,4.0,Low,3.0,Cat_6,B
5492,463683,Female,Yes,39,Yes,Artist,14.0,Average,2.0,Cat_6,B
4740,462530,Female,Yes,37,Yes,Artist,,High,2.0,Cat_6,A
1946,462683,Female,Yes,38,No,Engineer,1.0,Low,5.0,Cat_1,B
2491,463473,Male,No,23,No,Healthcare,,Low,3.0,Cat_6,D
2687,466555,Male,No,18,No,Healthcare,1.0,Low,3.0,Cat_6,D
935,459972,Male,No,35,Yes,Artist,5.0,Low,2.0,Cat_6,A
6103,467630,Male,Yes,85,No,Lawyer,0.0,Low,1.0,Cat_6,D
2721,459765,Female,No,35,Yes,Engineer,4.0,Low,1.0,Cat_6,A
3017,466655,Male,Yes,57,No,Executive,1.0,Low,2.0,Cat_6,C
7796,465988,Female,Yes,58,Yes,Homemaker,0.0,High,2.0,Cat_5,B
4040,464241,Female,Yes,89,,Artist,1.0,High,2.0,Cat_6,C
1012,465620,Male,No,37,Yes,Artist,8.0,Low,3.0,Cat_6,C
1859,464020,Male,No,20,No,Healthcare,0.0,Low,4.0,Cat_6,D
3977,466455,Female,Yes,30,Yes,Doctor,4.0,Low,2.0,Cat_6,D
132,464857,Male,No,18,No,Healthcare,6.0,Low,4.0,Cat_4,D
4888,464111,Male,Yes,57,Yes,Artist,0.0,Average,3.0,Cat_2,D
1949,464542,Female,No,26,Yes,Healthcare,10.0,Low,1.0,Cat_6,D
5163,460424,Female,No,35,No,Entertainment,0.0,Low,1.0,Cat_6,A
7803,462315,Male,Yes,65,Yes,Artist,1.0,Average,3.0,Cat_6,B
1842,464134,Female,No,43,Yes,Entertainment,0.0,Low,6.0,Cat_6,A
2312,461842,Male,Yes,63,Yes,Artist,1.0,Average,3.0,Cat_6,C
4586,467391,Male,Yes,84,Yes,Lawyer,,Low,1.0,Cat_6,C
7830,462771,Female,Yes,46,Yes,Marketing,,High,3.0,Cat_6,B
2074,467104,Female,No,18,No,Healthcare,1.0,Low,3.0,Cat_6,D
7607,462779,Female,Yes,61,No,Marketing,,Average,,Cat_6,D
2996,463809,Female,No,30,Yes,Healthcare,2.0,Low,3.0,Cat_6,B
5137,464902,Female,Yes,68,No,Lawyer,0.0,Low,1.0,Cat_4,D
6076,463538,Male,Yes,60,No,Executive,0.0,High,2.0,Cat_6,B
6124,466227,Male,Yes,61,Yes,Artist,0.0,Average,5.0,Cat_6,C
207,466068,Female,Yes,53,Yes,Artist,2.0,Low,1.0,Cat_6,C
6984,466043,Female,Yes,46,Yes,Artist,1.0,Average,4.0,Cat_6,B
6597,459546,Female,Yes,81,No,Lawyer,,High,2.0,Cat_6,B
6861,459148,Female,No,20,No,Healthcare,2.0,Low,3.0,Cat_4,D
3887,460668,Female,No,27,Yes,Doctor,,Low,2.0,Cat_3,D
3273,462180,Female,Yes,60,Yes,Engineer,4.0,Average,4.0,Cat_2,B
2866,466001,Female,Yes,36,Yes,Entertainment,6.0,Low,2.0,Cat_6,B
7520,460867,Male,Yes,40,Yes,Doctor,0.0,Average,5.0,Cat_6,B
2737,459892,Female,Yes,50,Yes,Artist,1.0,Low,1.0,Cat_6,A
6264,461195,Male,No,18,No,Healthcare,0.0,Low,2.0,Cat_4,D
307,463895,Female,Yes,70,No,Doctor,0.0,Average,2.0,Cat_6,B
932,466242,Female,No,35,No,Engineer,1.0,Low,1.0,Cat_4,A
1671,464390,Male,Yes,41,Yes,Artist,1.0,Low,2.0,Cat_6,C
2957,465774,Female,No,26,Yes,Doctor,9.0,Low,4.0,Cat_6,D
2775,459548,Female,Yes,50,Yes,Engineer,1.0,Low,2.0,Cat_6,A
2535,466503,Male,Yes,45,Yes,Artist,7.0,Average,5.0,Cat_6,B
2276,459824,Male,No,38,Yes,Entertainment,8.0,Low,1.0,Cat_6,D
6308,467482,Male,Yes,38,Yes,Executive,0.0,High,3.0,Cat_6,C
7674,467754,Male,Yes,35,Yes,Artist,,Average,4.0,Cat_6,C
5286,460367,Male,Yes,73,Yes,Artist,1.0,Low,2.0,Cat_6,B
3988,460413,Female,No,39,Yes,Artist,7.0,Low,1.0,Cat_6,B
3682,459735,Female,No,43,No,Artist,,Low,1.0,Cat_6,B
7068,460092,Male,No,41,Yes,Doctor,2.0,Low,2.0,Cat_6,C
1978,459975,Female,No,38,Yes,Artist,7.0,Low,1.0,Cat_6,B
3138,460024,Female,Yes,43,Yes,Entertainment,8.0,Low,1.0,Cat_6,B
7399,464187,Female,No,41,No,Engineer,9.0,Low,1.0,Cat_6,A
4933,462895,Male,No,32,No,Entertainment,1.0,Low,3.0,Cat_7,D
947,461970,Female,No,38,Yes,Artist,9.0,Low,1.0,Cat_6,B
3943,463289,Female,Yes,39,Yes,Artist,0.0,Average,3.0,Cat_3,C
4845,462409,Female,Yes,26,No,Engineer,7.0,Low,2.0,Cat_6,A
5827,462764,Male,No,18,No,Healthcare,,Low,4.0,Cat_6,D
6085,464308,Female,Yes,75,Yes,Lawyer,0.0,High,2.0,Cat_6,B
4342,465862,Female,,50,Yes,Artist,8.0,Average,1.0,Cat_6,A
7065,465021,Male,Yes,62,Yes,Entertainment,0.0,Average,3.0,Cat_6,C
3311,467117,Male,No,48,Yes,Artist,0.0,Low,1.0,Cat_6,A
432,459701,Male,No,47,No,Artist,3.0,Low,3.0,Cat_5,B
2305,467338,Female,No,27,Yes,Healthcare,2.0,Low,6.0,Cat_6,D
7270,460267,Female,No,27,Yes,Healthcare,1.0,Low,9.0,Cat_6,C
982,461382,Male,Yes,68,No,Executive,1.0,High,2.0,Cat_6,B
4051,465489,Female,No,50,Yes,Engineer,1.0,Low,5.0,Cat_6,A
5485,462670,Male,Yes,89,Yes,Doctor,,Low,1.0,Cat_6,A
1914,463232,Female,No,23,No,Healthcare,2.0,Low,5.0,Cat_6,D
7380,467751,Male,Yes,48,Yes,Artist,1.0,Average,3.0,Cat_6,C
7770,462446,Male,No,22,No,Healthcare,0.0,Low,4.0,Cat_6,D
2313,462229,Male,No,23,No,,0.0,Low,8.0,Cat_4,D
2501,460542,Female,Yes,81,No,Lawyer,1.0,Low,,Cat_3,B
7954,465415,Male,No,31,No,Artist,0.0,Low,7.0,Cat_2,C
5967,467148,Male,No,28,Yes,Artist,,Low,1.0,Cat_6,A
1331,461804,Female,No,43,Yes,Artist,0.0,Low,1.0,Cat_6,A
5794,467750,Male,Yes,40,Yes,Artist,,Average,3.0,Cat_6,C
8024,467153,Female,Yes,51,Yes,Artist,0.0,Low,,Cat_6,A
5887,464361,Male,Yes,50,Yes,Artist,1.0,Average,2.0,Cat_6,C
3228,462615,Male,No,31,No,Doctor,4.0,Low,7.0,Cat_4,D
3199,460543,Male,Yes,80,No,Lawyer,7.0,Low,,Cat_3,C
75,463691,Female,No,33,No,Homemaker,0.0,Low,3.0,Cat_6,B
267,466268,Female,Yes,72,Yes,Artist,0.0,Average,3.0,Cat_4,C
3036,463507,Male,Yes,49,No,Artist,1.0,Low,1.0,Cat_6,C
1143,459151,Male,Yes,60,Yes,Lawyer,9.0,Low,2.0,Cat_6,B
6790,459437,Male,Yes,68,Yes,Lawyer,,High,2.0,Cat_6,B
3113,461132,Male,Yes,68,Yes,Artist,2.0,Low,1.0,Cat_6,B
4489,459719,Male,Yes,84,Yes,Lawyer,,Low,,Cat_4,D
5637,459296,Male,Yes,70,Yes,Artist,1.0,Average,2.0,Cat_6,C
5771,463224,Male,Yes,50,Yes,Executive,0.0,High,4.0,Cat_6,B
7378,467679,Female,Yes,51,Yes,Artist,,Average,4.0,Cat_2,C
7611,459172,Male,No,21,No,Healthcare,3.0,Low,3.0,Cat_2,D
2762,465650,Female,No,32,No,Marketing,0.0,Low,4.0,Cat_6,A
6751,461467,Female,Yes,73,,Lawyer,,High,2.0,Cat_1,A
2256,464706,Female,No,32,No,Doctor,1.0,Low,3.0,Cat_4,D
7540,467494,Female,Yes,80,Yes,Lawyer,0.0,High,,Cat_6,A
5057,465449,Female,No,43,Yes,Artist,9.0,Low,2.0,Cat_6,B
3802,459699,Female,,61,Yes,Engineer,9.0,Average,3.0,Cat_6,B
7515,460127,Male,No,42,Yes,Healthcare,8.0,Low,3.0,Cat_6,D
937,462716,Male,No,33,No,Entertainment,6.0,Low,2.0,Cat_4,D
2355,462431,Male,No,32,No,Entertainment,9.0,Low,4.0,Cat_6,A
7412,459869,Female,No,23,No,Healthcare,1.0,Low,3.0,Cat_6,D
6699,463727,Female,No,27,No,Doctor,0.0,Low,5.0,Cat_3,A
1083,459439,Female,Yes,46,Yes,Artist,1.0,Average,2.0,Cat_6,A
5461,460544,Male,No,77,Yes,Lawyer,0.0,Low,1.0,Cat_3,C
5644,461189,Male,Yes,87,No,Lawyer,,Low,1.0,Cat_3,B
3373,464496,Female,Yes,41,No,Marketing,1.0,High,5.0,Cat_3,A
7003,464401,Female,Yes,66,Yes,Lawyer,4.0,Low,1.0,Cat_6,B
5623,467481,Male,Yes,50,Yes,Artist,0.0,Average,2.0,Cat_6,A
2063,463209,Female,No,51,Yes,Artist,0.0,Low,1.0,Cat_6,C
2923,462520,Female,No,25,Yes,Artist,,Low,5.0,Cat_4,B
4563,465762,Female,No,36,No,Engineer,9.0,Low,,Cat_4,D
2937,464860,Female,Yes,51,No,Engineer,,Average,3.0,Cat_4,B
2056,460714,Male,No,26,Yes,Entertainment,1.0,Low,3.0,Cat_6,D
543,459947,Female,No,37,Yes,Artist,3.0,Low,1.0,Cat_6,B
2820,467902,Female,No,37,No,Artist,,Low,1.0,Cat_6,A
5525,464070,Male,No,39,Yes,Artist,5.0,Low,2.0,Cat_6,B
5748,466429,Male,Yes,36,No,Healthcare,1.0,Low,2.0,Cat_3,A
2420,462571,Male,Yes,50,Yes,Healthcare,1.0,Average,1.0,Cat_6,D
1314,466536,Male,No,20,No,Healthcare,4.0,Low,4.0,Cat_4,D
5296,460213,Male,Yes,40,Yes,Entertainment,5.0,Low,1.0,Cat_6,D
6326,464686,Female,No,21,No,Entertainment,5.0,Low,5.0,Cat_4,D
7326,461926,Female,Yes,63,Yes,Artist,4.0,Average,4.0,Cat_6,C
7706,466888,Male,Yes,50,Yes,Entertainment,1.0,Low,1.0,Cat_6,A
4142,461721,Male,No,26,Yes,Entertainment,7.0,Low,5.0,Cat_5,D
1231,465467,Male,,33,No,Healthcare,1.0,Low,3.0,Cat_6,C
3269,461937,Female,No,41,Yes,Doctor,1.0,Low,,Cat_6,B
7964,460227,Male,No,33,No,Healthcare,1.0,Low,3.0,Cat_6,C
5088,462612,Female,Yes,32,No,Doctor,,High,6.0,Cat_4,B
4273,466513,Female,Yes,55,Yes,Artist,1.0,Average,3.0,Cat_6,B
1596,464923,Male,Yes,48,No,Executive,5.0,High,2.0,Cat_4,A
6503,463311,Female,No,18,No,Healthcare,0.0,Low,5.0,Cat_3,D
6770,464326,Female,No,38,Yes,Artist,1.0,Low,3.0,Cat_6,A
2632,465633,Male,Yes,83,Yes,Executive,,High,2.0,Cat_6,B
6146,464657,Male,No,23,No,Healthcare,0.0,Low,3.0,Cat_3,D
5043,466779,Male,No,22,No,,2.0,Low,2.0,Cat_3,D
6552,459270,Male,Yes,65,Yes,Homemaker,0.0,High,2.0,Cat_6,A
127,461787,Male,Yes,72,Yes,Artist,0.0,Average,2.0,Cat_6,C
98,465108,Male,Yes,58,Yes,Doctor,1.0,Average,2.0,Cat_6,C
4541,461196,Female,Yes,42,Yes,Engineer,8.0,Low,2.0,Cat_3,D
4619,464249,Male,Yes,80,No,Lawyer,,High,2.0,Cat_6,C
1755,462719,Female,Yes,55,Yes,Artist,0.0,High,5.0,Cat_6,B
3338,464263,Female,Yes,88,Yes,Lawyer,1.0,Low,,Cat_6,D
1941,461383,Male,Yes,71,Yes,Artist,0.0,High,2.0,Cat_6,B
4680,464567,Male,No,33,Yes,Healthcare,8.0,Low,4.0,Cat_2,D
6624,463917,Female,No,22,No,Healthcare,1.0,Low,8.0,Cat_4,D
382,460035,Female,No,25,Yes,Artist,0.0,Low,6.0,Cat_6,A
5527,462099,Female,Yes,47,Yes,Doctor,,Average,5.0,Cat_2,C
3541,461971,Male,Yes,50,Yes,Entertainment,1.0,Average,4.0,Cat_3,B
2117,463365,Male,Yes,67,No,Executive,1.0,High,2.0,Cat_6,D
6505,461960,Male,Yes,57,Yes,Entertainment,0.0,Low,2.0,Cat_6,A
6444,462126,Male,Yes,20,No,Healthcare,1.0,Average,4.0,Cat_7,D
3091,460758,Male,Yes,31,No,Executive,9.0,Average,2.0,Cat_6,A
3223,461366,Male,No,25,Yes,Healthcare,0.0,Low,1.0,Cat_6,D
2589,461414,Male,No,30,Yes,Entertainment,,Low,5.0,Cat_3,D
6310,463048,Female,Yes,47,Yes,Homemaker,,High,5.0,Cat_6,A
1984,460964,Male,Yes,84,No,Lawyer,1.0,High,2.0,Cat_6,A
3928,460281,Female,No,29,Yes,Doctor,10.0,Low,5.0,Cat_6,D
1816,467528,Male,Yes,87,No,Executive,0.0,High,2.0,Cat_6,C
7563,463412,Male,No,33,Yes,Artist,,Low,2.0,Cat_6,A
3534,459591,Male,Yes,50,Yes,Artist,1.0,Average,3.0,Cat_6,C
7726,467904,Female,No,25,Yes,Artist,13.0,Low,1.0,Cat_6,A
6797,461732,Female,Yes,46,Yes,Artist,1.0,Average,2.0,Cat_2,C
1875,459311,Male,No,29,Yes,Executive,0.0,Low,5.0,Cat_6,C
4298,465364,Female,No,38,Yes,Doctor,5.0,Low,5.0,Cat_2,A
1584,464507,Male,Yes,53,Yes,Artist,0.0,High,3.0,Cat_6,C
3095,461381,Male,Yes,31,Yes,Entertainment,0.0,Average,2.0,Cat_6,A
5391,464078,Male,Yes,88,No,Lawyer,0.0,Low,,Cat_6,B
4260,464234,Male,Yes,68,Yes,Entertainment,0.0,Low,3.0,Cat_2,A
4997,459879,Female,No,26,Yes,Healthcare,,Low,1.0,Cat_6,D
6385,465097,Male,Yes,81,No,Lawyer,1.0,High,2.0,Cat_6,A
945,463465,Male,Yes,43,Yes,Artist,6.0,Average,3.0,Cat_6,B
7450,463464,Male,No,18,No,Healthcare,6.0,Low,4.0,Cat_6,D
5496,461523,Male,Yes,78,Yes,Lawyer,0.0,High,5.0,Cat_6,B
3118,463300,Male,Yes,47,No,Entertainment,1.0,Low,2.0,Cat_6,A
7483,463346,Male,Yes,40,Yes,Healthcare,1.0,Low,3.0,Cat_6,D
7167,463869,Female,Yes,52,Yes,Doctor,0.0,Average,4.0,Cat_6,C
6510,460619,Male,No,52,Yes,Entertainment,,Low,,Cat_3,C
2792,462297,Female,No,29,Yes,Artist,14.0,Low,2.0,Cat_6,B
3391,466398,Male,No,21,No,Healthcare,1.0,Low,4.0,Cat_3,D
7554,466822,Female,Yes,42,Yes,Entertainment,0.0,Average,4.0,Cat_3,B
1608,463990,Male,Yes,55,Yes,Artist,1.0,Average,2.0,Cat_4,B
3676,467699,Female,Yes,32,Yes,Doctor,0.0,Average,2.0,Cat_4,C
6696,461412,Female,Yes,41,Yes,Artist,5.0,High,3.0,Cat_5,B
4050,463243,Male,No,19,No,Healthcare,0.0,Low,3.0,Cat_6,D
1475,465081,Male,Yes,57,Yes,Executive,7.0,High,2.0,Cat_6,C
6502,466539,Female,Yes,80,No,Lawyer,1.0,High,2.0,Cat_6,C
4439,460138,Male,No,33,Yes,Entertainment,9.0,Low,6.0,Cat_6,D
4647,467033,Male,Yes,37,Yes,Entertainment,8.0,Average,2.0,Cat_2,D
5217,461559,Male,,52,Yes,Artist,0.0,Low,4.0,Cat_4,C
6422,463138,Female,No,28,No,Homemaker,,Low,,Cat_3,D
4782,460517,Male,Yes,78,,Lawyer,,Low,,Cat_3,C
5379,461492,Male,Yes,70,Yes,Entertainment,8.0,Average,2.0,Cat_6,C
7821,466886,Female,No,40,No,Marketing,1.0,Low,1.0,Cat_6,D
5501,463238,Male,No,22,No,Healthcare,0.0,Low,5.0,Cat_6,D
3186,460476,Male,Yes,52,No,Doctor,,Average,4.0,Cat_3,B
1923,461353,Male,Yes,50,Yes,Executive,0.0,High,4.0,Cat_6,A
5002,461780,Female,No,65,Yes,Lawyer,0.0,Low,5.0,Cat_6,A
7800,461698,Female,Yes,67,Yes,Artist,0.0,High,2.0,Cat_6,C
7428,459839,Male,Yes,45,No,Engineer,1.0,Average,5.0,Cat_6,B
256,466078,Female,Yes,51,No,Executive,,Low,1.0,Cat_6,A
1570,462245,Female,Yes,49,Yes,Artist,1.0,Average,3.0,Cat_6,C
5704,462770,Male,No,18,No,Healthcare,,Low,3.0,Cat_6,D
8035,467341,Male,No,35,Yes,Artist,3.0,Low,1.0,Cat_6,B
5986,463354,Male,Yes,53,Yes,Executive,4.0,High,4.0,Cat_6,D
4914,463317,Male,Yes,72,Yes,Marketing,0.0,Low,1.0,Cat_6,A
7354,465978,Male,Yes,50,Yes,Artist,1.0,Average,3.0,Cat_6,B
2397,466710,Female,Yes,73,No,Artist,1.0,High,2.0,Cat_6,C
803,466188,Male,Yes,59,Yes,Artist,4.0,Low,1.0,Cat_4,B
3862,462632,Female,Yes,37,No,Engineer,,Average,4.0,Cat_4,A
3965,467015,Male,Yes,49,Yes,Artist,0.0,Average,2.0,Cat_6,C
1139,462562,Female,No,25,Yes,Entertainment,0.0,Low,6.0,Cat_2,C
1510,461564,Male,Yes,63,Yes,Executive,1.0,High,2.0,Cat_6,C
4945,459487,Male,Yes,67,No,Lawyer,,Low,,Cat_6,D
5811,459559,Female,Yes,39,No,Engineer,,Average,3.0,Cat_6,D
4938,464840,Male,No,18,No,Healthcare,0.0,Low,4.0,Cat_4,D
7154,461325,Male,No,61,Yes,Entertainment,1.0,Low,3.0,Cat_2,C
6606,460171,Female,Yes,62,Yes,Artist,0.0,High,2.0,Cat_6,C
4250,459392,Female,No,23,No,Doctor,0.0,Low,3.0,Cat_6,C
555,465879,Male,No,39,Yes,Artist,0.0,Low,1.0,Cat_6,A
6858,467682,Female,Yes,35,Yes,Artist,9.0,Average,4.0,Cat_6,B
4147,464756,Female,No,25,No,Engineer,5.0,Low,3.0,Cat_4,B
7722,462463,Male,Yes,61,No,Artist,1.0,Average,2.0,Cat_6,C
934,464039,Male,No,42,Yes,Artist,1.0,Low,2.0,Cat_6,A
6143,459285,Male,No,76,Yes,Lawyer,0.0,Low,2.0,Cat_6,A
7531,465641,Female,Yes,47,Yes,Artist,0.0,Average,2.0,Cat_6,C
3288,461209,Female,No,31,No,Healthcare,9.0,Low,1.0,Cat_6,D
3583,467649,Male,Yes,38,Yes,Doctor,0.0,Average,5.0,Cat_6,B
4707,466085,Male,No,19,No,,9.0,Low,4.0,Cat_4,D
636,466752,Male,Yes,37,Yes,Healthcare,0.0,Low,1.0,Cat_6,D
2374,464222,Male,Yes,58,Yes,Artist,1.0,Low,1.0,Cat_6,D
3570,463028,Male,No,33,No,Doctor,1.0,Low,4.0,Cat_6,D
7708,464489,Male,Yes,45,Yes,Artist,0.0,Average,3.0,Cat_6,C
3684,461853,Male,No,20,No,Healthcare,6.0,Low,3.0,Cat_6,D
2955,463247,Male,No,45,Yes,Entertainment,1.0,Low,1.0,Cat_7,A
5419,459124,Female,Yes,75,Yes,Artist,1.0,High,3.0,Cat_6,B
4409,461518,Female,Yes,46,Yes,Artist,0.0,Average,4.0,Cat_3,B
2832,465256,Male,No,22,No,Healthcare,,Low,5.0,Cat_2,D
5641,464235,Female,Yes,59,No,Engineer,,Average,4.0,Cat_6,C
5572,466639,Male,No,38,Yes,Artist,1.0,Low,1.0,Cat_6,B
5943,467303,Male,Yes,38,Yes,Doctor,3.0,Average,2.0,Cat_6,C
5001,460133,Female,No,37,No,Artist,4.0,Low,1.0,Cat_6,A
4369,467499,Male,Yes,40,Yes,Artist,,Low,3.0,Cat_6,C
7140,462015,Male,Yes,27,Yes,Entertainment,0.0,Average,2.0,Cat_6,A
5284,466049,Female,No,25,Yes,Doctor,0.0,Low,1.0,Cat_4,A
168,465301,Female,Yes,40,Yes,Artist,0.0,Low,3.0,Cat_3,B
7856,466831,Male,Yes,85,Yes,Artist,1.0,Low,1.0,Cat_6,A
7857,466114,Male,Yes,52,Yes,Entertainment,1.0,Average,5.0,Cat_6,C
4360,462525,Female,Yes,41,Yes,Artist,0.0,Average,2.0,Cat_6,C
333,467380,Female,Yes,56,Yes,Artist,0.0,Average,4.0,Cat_6,C
6275,466764,Male,Yes,65,Yes,Lawyer,11.0,High,2.0,Cat_6,C
2707,460790,Female,Yes,42,Yes,Artist,0.0,High,2.0,Cat_2,C
