index,index,ID,Gender,Ever_Married,Age,Graduated,Profession,Work_Experience,Spending_Score,Family_Size,Var_1,Segmentation
304,4945,459487,Male,Yes,67,No,Lawyer,,Low,,Cat_6,0.0
1491,3674,466540,Male,No,22,No,Healthcare,2.0,Low,2.0,Cat_4,0.0
1968,3295,463794,Female,No,32,Yes,Healthcare,,Low,5.0,Cat_2,0.0
3756,1004,463297,Male,No,27,Yes,Healthcare,4.0,Low,2.0,Cat_6,0.0
2155,2921,460661,Female,No,33,No,Homemaker,9.0,Low,1.0,Cat_6,0.0
1739,4558,465402,Male,No,31,No,Healthcare,,Low,,Cat_6,0.0
6352,721,463102,Male,No,41,No,Entertainment,0.0,Low,2.0,Cat_6,0.0
2796,93,463338,Male,Yes,32,No,Entertainment,1.0,Low,2.0,Cat_3,0.0
495,3478,466836,Female,No,42,Yes,Doctor,0.0,Low,1.0,Cat_4,0.0
1469,4072,463100,Female,No,37,No,Homemaker,8.0,Low,1.0,Cat_6,0.0
5882,4761,466443,Female,Yes,68,Yes,Artist,4.0,Low,2.0,Cat_6,1.0
3173,3150,464637,Female,No,38,Yes,Marketing,,Low,4.0,Cat_4,0.0
4018,3000,459033,Female,Yes,56,Yes,Artist,0.0,Low,1.0,Cat_6,1.0
4800,6619,462223,Male,Yes,78,No,,0.0,Low,1.0,Cat_4,0.0
4129,3651,466371,Male,No,19,No,Healthcare,1.0,Low,4.0,Cat_2,0.0
4133,3690,459730,Male,Yes,35,No,,1.0,Low,2.0,Cat_6,0.0
1614,7082,467127,Male,Yes,70,No,Lawyer,,Low,1.0,Cat_6,0.0
5225,3232,465087,Male,No,29,Yes,Doctor,1.0,Low,4.0,Cat_6,1.0
4940,3024,464862,Female,No,20,No,Engineer,8.0,Low,5.0,Cat_4,0.0
682,6159,467781,Male,Yes,27,Yes,Healthcare,1.0,High,2.0,Cat_6,0.0
3508,5298,463409,Female,Yes,43,No,Entertainment,7.0,Average,5.0,Cat_2,1.0
2855,3456,461242,Male,Yes,52,Yes,Healthcare,1.0,Low,2.0,Cat_6,0.0
1361,107,460764,Male,No,86,No,Lawyer,1.0,Low,1.0,Cat_6,0.0
6386,3600,461741,Male,Yes,67,Yes,Lawyer,1.0,High,2.0,Cat_6,1.0
716,83,460671,Male,Yes,35,No,Entertainment,8.0,Average,4.0,Cat_3,1.0
2838,1106,466898,Male,Yes,45,Yes,Executive,0.0,High,4.0,Cat_6,1.0
2755,6303,462237,Female,No,22,No,Healthcare,1.0,Low,9.0,Cat_4,0.0
6080,7509,462915,Male,Yes,61,No,Engineer,5.0,Average,3.0,Cat_6,1.0
2324,4038,465984,Male,,23,No,Healthcare,8.0,High,5.0,Cat_6,0.0
5002,792,462967,Male,Yes,47,No,Entertainment,4.0,Average,3.0,Cat_6,1.0
346,4690,467024,Male,Yes,40,Yes,Entertainment,9.0,Average,5.0,Cat_6,1.0
2976,7463,460287,Male,Yes,53,Yes,Artist,0.0,Low,1.0,Cat_6,1.0
2266,3298,467210,Male,Yes,28,Yes,Homemaker,13.0,Average,2.0,Cat_6,1.0
6333,7691,461127,Male,No,23,No,Healthcare,1.0,Low,5.0,Cat_4,0.0
4324,1777,466948,Male,Yes,58,Yes,Artist,1.0,Low,2.0,Cat_7,1.0
1482,2492,463213,Female,No,18,No,Healthcare,3.0,Low,4.0,Cat_6,0.0
5745,662,467647,Male,No,28,Yes,Healthcare,2.0,Low,3.0,Cat_6,0.0
1420,3044,460338,Male,No,28,Yes,Entertainment,14.0,Low,2.0,Cat_6,0.0
943,5830,467608,Male,No,32,Yes,Engineer,6.0,Low,1.0,Cat_6,0.0
2798,2362,465989,Female,No,28,No,Healthcare,9.0,Low,2.0,Cat_6,0.0
5335,2221,463233,Male,Yes,50,No,Executive,0.0,Average,5.0,Cat_6,1.0
3355,3156,464976,Male,Yes,75,No,Lawyer,1.0,Low,1.0,Cat_4,0.0
3419,293,464695,Male,No,26,No,Engineer,0.0,Low,4.0,Cat_4,0.0
248,3928,460281,Female,No,29,Yes,Doctor,10.0,Low,5.0,Cat_6,0.0
891,1474,460177,Male,No,48,Yes,Artist,1.0,Low,1.0,Cat_6,1.0
3977,3919,459669,Male,Yes,30,Yes,Artist,0.0,Average,2.0,Cat_6,1.0
1342,940,466441,Male,No,22,No,Healthcare,0.0,Low,9.0,Cat_6,0.0
4682,5853,460490,Female,No,18,No,Healthcare,0.0,Low,4.0,Cat_3,0.0
4471,262,462721,Female,Yes,72,No,Lawyer,1.0,High,3.0,Cat_6,0.0
5690,6840,459331,Female,No,70,Yes,Lawyer,0.0,Low,1.0,Cat_6,0.0
5372,500,465309,Female,No,18,No,Healthcare,6.0,Low,4.0,Cat_7,0.0
2579,6888,462218,Male,Yes,53,No,Executive,0.0,Average,5.0,Cat_4,1.0
4423,3361,464815,Male,Yes,22,No,Doctor,2.0,High,9.0,Cat_4,1.0
3362,1316,462234,Male,Yes,27,No,,1.0,Average,6.0,Cat_4,0.0
3618,322,467730,Male,No,18,No,Healthcare,,Low,4.0,Cat_6,0.0
5119,6800,464437,Female,Yes,48,Yes,Engineer,0.0,Average,4.0,Cat_6,1.0
4975,909,463047,Male,Yes,27,Yes,Homemaker,9.0,Low,,Cat_6,0.0
5802,3872,467118,Male,Yes,55,Yes,Entertainment,1.0,Average,3.0,Cat_7,1.0
975,4362,459055,Female,No,19,No,Entertainment,1.0,Low,5.0,Cat_6,0.0
829,3867,463880,Female,Yes,36,No,Engineer,0.0,Low,3.0,Cat_2,1.0
1069,6416,462100,Female,No,40,Yes,Healthcare,0.0,Low,1.0,Cat_2,0.0
1175,3489,467286,Male,No,27,Yes,Healthcare,1.0,Low,3.0,Cat_4,0.0
5973,4284,462182,Male,Yes,88,No,Artist,7.0,Low,1.0,Cat_6,0.0
2866,3318,459943,Male,No,42,Yes,Entertainment,2.0,Low,3.0,Cat_6,1.0
3927,6090,461999,Male,No,27,Yes,Doctor,0.0,Low,5.0,Cat_6,1.0
6188,5762,462456,Male,No,18,No,Healthcare,0.0,Low,8.0,Cat_6,0.0
1376,783,463720,Female,Yes,45,Yes,Artist,1.0,Average,4.0,Cat_4,1.0
2052,5224,459920,Female,Yes,51,Yes,Artist,6.0,High,2.0,Cat_4,1.0
371,4796,460885,Male,Yes,53,No,Artist,8.0,Average,3.0,Cat_6,1.0
124,2866,466001,Female,Yes,36,Yes,Entertainment,6.0,Low,2.0,Cat_6,1.0
5747,4427,463062,Female,Yes,37,Yes,Artist,,Average,3.0,Cat_6,1.0
4867,7011,466830,Male,No,28,Yes,Healthcare,5.0,Low,4.0,Cat_6,0.0
6434,8048,465285,Female,Yes,32,No,Engineer,9.0,Low,4.0,Cat_6,0.0
5544,5819,459918,Female,No,43,Yes,Artist,1.0,Low,1.0,Cat_3,1.0
290,7428,459839,Male,Yes,45,No,Engineer,1.0,Average,5.0,Cat_6,1.0
5392,7921,459242,Male,Yes,65,Yes,Executive,0.0,Low,4.0,Cat_6,1.0
242,6444,462126,Male,Yes,20,No,Healthcare,1.0,Average,4.0,Cat_7,0.0
4331,1518,462924,Female,Yes,31,No,Homemaker,8.0,Average,2.0,Cat_6,0.0
3695,2274,467522,Female,No,19,No,Healthcare,0.0,Low,2.0,Cat_6,0.0
3311,6039,463466,Male,No,21,No,Healthcare,13.0,Low,6.0,Cat_6,0.0
5856,3817,462259,Male,Yes,51,Yes,Artist,,Low,2.0,Cat_6,1.0
4264,4170,459387,Male,No,35,Yes,Doctor,0.0,Low,1.0,Cat_6,0.0
1713,2138,459940,Female,No,46,Yes,Engineer,1.0,Low,2.0,Cat_1,1.0
1605,967,466919,Male,No,19,No,Doctor,,Low,5.0,Cat_3,0.0
4177,1015,466317,Male,Yes,37,Yes,Entertainment,4.0,Low,1.0,Cat_6,1.0
2263,3895,460208,Male,No,27,No,Artist,9.0,Low,8.0,Cat_6,0.0
3317,6654,462978,Male,Yes,43,No,Entertainment,,Average,3.0,Cat_6,1.0
1444,7743,467388,Male,No,35,,,0.0,Low,,Cat_6,0.0
4449,896,464735,Female,No,38,Yes,Marketing,8.0,Low,3.0,Cat_4,0.0
4798,8066,467299,Female,No,27,Yes,Healthcare,1.0,Low,4.0,Cat_6,1.0
4472,7344,460332,Male,No,28,Yes,Healthcare,0.0,Low,5.0,Cat_6,0.0
3604,5795,461877,Female,No,38,Yes,Artist,7.0,Low,2.0,Cat_6,1.0
5401,7141,461107,Male,No,21,No,Healthcare,0.0,Low,6.0,Cat_3,0.0
1079,2343,461628,Male,Yes,39,Yes,Healthcare,11.0,Average,2.0,Cat_6,1.0
4675,7160,465890,Female,No,39,Yes,Artist,9.0,Low,1.0,Cat_6,1.0
2055,7006,466092,Male,Yes,65,Yes,Artist,1.0,Average,4.0,Cat_6,1.0
3438,6199,460015,Female,Yes,43,No,Entertainment,5.0,Low,1.0,Cat_3,0.0
3061,6045,461121,Male,No,28,No,Doctor,0.0,Low,4.0,Cat_3,0.0
859,642,464878,Male,No,22,No,Healthcare,0.0,Low,4.0,Cat_4,0.0
603,4372,467504,Female,,31,No,Doctor,1.0,Low,4.0,Cat_6,0.0
1749,5432,463756,Male,Yes,68,No,Executive,1.0,Average,2.0,Cat_6,1.0
6,6776,463509,Male,No,43,No,Artist,0.0,Low,1.0,Cat_3,0.0
3346,6222,464859,Female,Yes,45,Yes,Artist,1.0,Average,3.0,Cat_6,1.0
3396,1703,466923,Female,No,21,No,Homemaker,9.0,Low,1.0,Cat_6,0.0
6148,5838,466028,Male,Yes,50,Yes,Artist,4.0,Average,4.0,Cat_3,1.0
572,7438,460688,Male,Yes,28,No,Doctor,5.0,Low,2.0,Cat_3,0.0
573,7740,465434,Female,No,26,Yes,Healthcare,1.0,Low,7.0,Cat_2,1.0
3272,3292,459654,Male,Yes,51,Yes,Artist,5.0,Average,3.0,Cat_6,1.0
211,5296,460213,Male,Yes,40,Yes,Entertainment,5.0,Low,1.0,Cat_6,0.0
1717,6832,464244,Male,Yes,72,Yes,Executive,1.0,High,4.0,Cat_6,1.0
1826,2482,466017,Female,Yes,45,Yes,Homemaker,1.0,Low,1.0,Cat_3,1.0
1377,3836,467533,Male,Yes,79,Yes,Lawyer,2.0,Low,1.0,Cat_6,0.0
686,5387,464086,Male,Yes,42,Yes,Artist,1.0,Average,4.0,Cat_6,1.0
3352,7590,466739,Male,No,31,No,Healthcare,0.0,Low,,Cat_6,0.0
3936,6891,466035,Female,Yes,86,Yes,Lawyer,1.0,Low,2.0,Cat_6,1.0
5253,5466,464392,Male,Yes,58,,Artist,1.0,Average,2.0,Cat_6,1.0
915,7388,466447,Female,Yes,49,Yes,Artist,0.0,Average,4.0,Cat_7,1.0
6268,453,459835,Male,Yes,85,No,Lawyer,,Low,1.0,Cat_6,0.0
2903,5995,459049,Male,Yes,49,Yes,Executive,2.0,High,4.0,Cat_2,1.0
2612,3705,464833,Male,Yes,51,No,Executive,,Low,9.0,Cat_4,0.0
2210,1262,467002,Female,No,26,Yes,Homemaker,9.0,Low,,Cat_6,0.0
5976,420,459196,Female,No,23,No,Healthcare,1.0,Low,3.0,Cat_4,0.0
5070,3027,465157,Male,Yes,42,Yes,Entertainment,3.0,Average,4.0,Cat_6,1.0
2352,6643,466982,Male,Yes,56,Yes,Artist,,Average,2.0,Cat_6,1.0
4574,3725,467212,Female,No,28,Yes,Doctor,1.0,Low,3.0,Cat_6,1.0
2793,7320,461555,Male,No,27,No,Entertainment,,Low,1.0,Cat_6,0.0
2725,5883,465899,Female,No,38,Yes,Doctor,9.0,Low,2.0,Cat_6,1.0
5569,1836,461793,Male,No,20,No,Marketing,0.0,Low,2.0,Cat_6,0.0
3316,4522,463481,Female,Yes,37,Yes,Artist,,Average,3.0,Cat_7,1.0
5262,3960,462374,Male,Yes,37,Yes,Executive,0.0,High,4.0,Cat_6,1.0
5505,3255,463117,Female,No,26,No,Engineer,0.0,Low,3.0,Cat_6,0.0
5481,7143,462789,Female,No,19,No,Healthcare,,Low,6.0,Cat_3,0.0
6216,5890,459989,Male,Yes,52,Yes,Artist,6.0,Average,2.0,Cat_6,1.0
5045,6526,467407,Male,No,27,Yes,Artist,7.0,Low,3.0,Cat_6,0.0
5582,122,464749,Female,Yes,47,No,Engineer,9.0,Average,4.0,Cat_4,1.0
5255,2878,460399,Male,No,26,Yes,Marketing,10.0,Low,1.0,Cat_6,0.0
823,1788,459960,Female,Yes,56,Yes,,1.0,Low,1.0,Cat_6,1.0
5660,6405,465366,Female,No,38,Yes,Artist,8.0,Low,1.0,Cat_6,1.0
6428,139,462008,Female,Yes,37,Yes,Artist,4.0,Low,4.0,Cat_5,1.0
5462,6710,459034,Female,No,21,No,Healthcare,,Low,5.0,Cat_6,0.0
2473,8055,461291,Male,No,18,No,Healthcare,0.0,Low,2.0,Cat_6,0.0
5620,4240,463633,Male,Yes,33,Yes,Doctor,0.0,Average,2.0,Cat_6,1.0
4015,1299,459022,Male,Yes,67,Yes,Artist,10.0,Low,1.0,Cat_6,0.0
964,4283,459655,Male,Yes,39,Yes,Artist,1.0,Average,3.0,Cat_6,1.0
2559,7820,465782,Female,No,21,No,Healthcare,5.0,Low,5.0,Cat_3,0.0
2520,1329,463091,Female,Yes,39,Yes,Homemaker,8.0,Low,1.0,Cat_6,0.0
2979,2903,466312,Female,No,21,No,Healthcare,0.0,Low,3.0,Cat_4,0.0
2753,6289,466119,Female,Yes,57,No,Engineer,0.0,Low,1.0,Cat_3,1.0
5100,3719,464596,Female,Yes,35,Yes,Executive,0.0,Low,2.0,Cat_6,1.0
462,4236,462614,Male,Yes,51,No,Entertainment,1.0,Average,5.0,Cat_4,0.0
4698,4286,460721,Male,No,21,No,Healthcare,1.0,Low,4.0,Cat_6,0.0
1310,6743,461173,Male,Yes,45,Yes,Artist,1.0,Low,4.0,Cat_3,1.0
5573,7941,462519,Male,No,22,No,Healthcare,1.0,Low,5.0,Cat_4,0.0
1937,5703,459794,Male,Yes,52,Yes,Artist,0.0,Low,2.0,Cat_6,1.0
6200,5988,465586,Male,Yes,72,No,Artist,1.0,Low,1.0,Cat_6,1.0
3859,4102,462214,Male,Yes,49,No,Doctor,1.0,Low,2.0,Cat_4,0.0
262,945,463465,Male,Yes,43,Yes,Artist,6.0,Average,3.0,Cat_6,1.0
2664,5906,466646,Female,Yes,48,Yes,Homemaker,1.0,Low,2.0,Cat_3,1.0
5943,3564,467851,Male,No,33,No,Marketing,,Low,5.0,Cat_6,0.0
5447,5393,460470,Male,No,36,No,Healthcare,,Low,4.0,Cat_4,1.0
1833,3188,463989,Male,No,79,No,Lawyer,0.0,Low,1.0,Cat_4,0.0
2469,793,460908,Male,No,20,No,Healthcare,7.0,Low,3.0,Cat_6,0.0
2949,4268,463941,Female,No,32,No,Artist,1.0,Low,6.0,Cat_4,0.0
5663,336,462083,Male,No,19,No,Healthcare,1.0,Low,5.0,Cat_6,0.0
1052,2869,464426,Male,No,39,Yes,Marketing,1.0,Low,4.0,Cat_3,0.0
2789,5503,464123,Female,No,51,Yes,Artist,0.0,Low,1.0,Cat_6,1.0
1110,6546,460915,Male,Yes,40,No,Entertainment,5.0,Low,4.0,Cat_3,0.0
4367,1894,464713,Female,Yes,71,Yes,Artist,0.0,High,4.0,Cat_1,1.0
4729,1918,466512,Female,No,22,No,Healthcare,1.0,Low,2.0,Cat_6,0.0
1625,6543,467729,Male,Yes,61,Yes,Entertainment,3.0,Average,6.0,Cat_6,1.0
175,1143,459151,Male,Yes,60,Yes,Lawyer,9.0,Low,2.0,Cat_6,1.0
6245,190,459340,Male,Yes,53,Yes,Artist,1.0,Average,3.0,Cat_6,1.0
2340,6384,461534,Male,Yes,39,Yes,Artist,1.0,Low,1.0,Cat_6,1.0
6021,6480,459304,Female,Yes,43,Yes,Artist,8.0,Average,2.0,Cat_6,1.0
1317,7663,465917,Male,No,36,Yes,Artist,13.0,Low,1.0,Cat_6,1.0
3816,2277,461051,Female,Yes,71,Yes,Entertainment,1.0,Average,2.0,Cat_6,1.0
2218,2426,465426,Male,No,30,No,Healthcare,0.0,Low,4.0,Cat_6,1.0
4332,238,459756,Female,Yes,56,No,Lawyer,1.0,High,4.0,Cat_4,1.0
4400,1567,464313,Male,Yes,30,No,Homemaker,1.0,Average,3.0,Cat_6,0.0
3670,1694,467457,Female,No,32,Yes,Marketing,1.0,Low,6.0,Cat_6,1.0
1585,4547,460116,Female,Yes,43,Yes,,1.0,Low,2.0,Cat_6,0.0
3525,2001,466789,Female,Yes,53,Yes,Artist,0.0,Average,2.0,Cat_3,1.0
2363,7744,466373,Male,Yes,63,Yes,Executive,1.0,High,1.0,Cat_6,1.0
886,2888,461244,Female,No,41,No,Marketing,1.0,Low,1.0,Cat_6,0.0
4463,772,467411,Male,Yes,52,Yes,Artist,0.0,High,2.0,Cat_6,1.0
3667,201,466065,Male,,19,No,Healthcare,9.0,Low,3.0,Cat_3,0.0
828,2335,464641,Female,Yes,65,Yes,Lawyer,2.0,Low,6.0,Cat_1,0.0
514,1809,467305,Female,Yes,38,Yes,Homemaker,8.0,Average,3.0,Cat_6,1.0
1870,6063,460625,Female,No,28,No,Marketing,9.0,Low,2.0,Cat_3,0.0
2795,7038,462950,Female,No,29,Yes,Doctor,0.0,Low,5.0,Cat_3,0.0
4409,5364,465346,Female,No,37,Yes,Marketing,1.0,Low,3.0,Cat_6,0.0
1027,6957,460212,Male,Yes,37,Yes,Entertainment,11.0,Low,6.0,Cat_6,0.0
5695,6969,464351,Female,No,31,Yes,Healthcare,1.0,Low,1.0,Cat_6,0.0
366,3547,467618,Male,No,26,No,Doctor,6.0,Low,2.0,Cat_6,0.0
4727,510,460685,Male,No,51,,Artist,6.0,Low,4.0,Cat_4,1.0
2732,366,466442,Male,No,38,Yes,Artist,1.0,Low,1.0,Cat_6,0.0
1754,5790,459357,Male,Yes,69,No,Lawyer,0.0,Low,1.0,Cat_6,0.0
4192,6622,461305,Male,No,22,No,Healthcare,1.0,Low,3.0,Cat_6,0.0
1,3398,462903,Male,Yes,72,Yes,Entertainment,,Average,2.0,Cat_6,1.0
3737,4656,465241,Male,No,23,No,Healthcare,3.0,Low,2.0,Cat_4,0.0
789,1835,465050,Male,Yes,74,Yes,Lawyer,1.0,High,2.0,Cat_6,1.0
1927,6533,466509,Male,Yes,56,No,Executive,1.0,Average,3.0,Cat_6,1.0
4693,8010,467278,Female,Yes,84,Yes,Artist,0.0,High,2.0,Cat_6,1.0
3409,6555,465214,Male,Yes,25,No,Engineer,14.0,Low,1.0,Cat_6,0.0
4756,5261,463066,Female,No,28,Yes,Healthcare,9.0,Low,3.0,Cat_6,0.0
1883,2223,465915,Male,Yes,40,Yes,Entertainment,8.0,Average,2.0,Cat_6,1.0
2154,4135,460669,Male,,48,Yes,Executive,0.0,Low,2.0,Cat_1,1.0
1954,742,467287,Male,No,28,Yes,Entertainment,,Low,3.0,Cat_4,0.0
4106,3424,466163,Male,Yes,79,,Lawyer,1.0,Low,1.0,Cat_4,0.0
4809,3385,461095,Female,No,21,No,Healthcare,,Low,3.0,Cat_3,0.0
1767,2326,464100,Female,No,33,Yes,Healthcare,1.0,Low,1.0,Cat_6,0.0
5961,5396,465700,Male,Yes,25,Yes,Entertainment,1.0,High,2.0,Cat_3,0.0
1704,6164,459621,Female,No,29,No,Healthcare,8.0,Low,,,0.0
2319,4134,467159,Female,Yes,39,Yes,Homemaker,8.0,High,2.0,Cat_6,0.0
2024,1797,462546,Female,No,21,No,Executive,8.0,Low,,Cat_7,0.0
5936,161,460258,Female,No,25,Yes,Healthcare,1.0,Low,5.0,Cat_6,0.0
2758,4229,460136,Male,No,27,Yes,Artist,10.0,Low,3.0,Cat_6,0.0
4005,2691,460217,Male,Yes,45,Yes,Artist,1.0,Average,2.0,Cat_6,1.0
1184,3306,465232,Male,Yes,56,Yes,Executive,0.0,High,4.0,Cat_6,1.0
2791,2028,461175,Male,Yes,57,Yes,Healthcare,1.0,Low,3.0,Cat_6,1.0
1667,40,462044,Female,No,47,Yes,Artist,4.0,Low,1.0,Cat_6,1.0
5579,6294,464405,Male,No,62,Yes,Entertainment,,Low,1.0,Cat_6,0.0
6305,5592,461779,Female,Yes,83,Yes,Lawyer,1.0,High,2.0,Cat_6,1.0
172,75,463691,Female,No,33,No,Homemaker,0.0,Low,3.0,Cat_6,1.0
4377,400,464659,Female,No,25,No,Engineer,1.0,Low,1.0,Cat_4,0.0
4219,2602,462084,Male,Yes,70,Yes,Artist,1.0,Low,1.0,Cat_6,1.0
2900,3609,464889,Male,Yes,41,No,Executive,1.0,Low,7.0,Cat_4,0.0
5578,5718,464398,Male,Yes,48,No,Marketing,0.0,Low,5.0,Cat_6,0.0
2652,6301,463830,Female,No,30,Yes,Engineer,3.0,Low,3.0,Cat_6,0.0
2360,1757,459084,Male,Yes,47,No,Executive,0.0,High,2.0,Cat_7,1.0
3113,1027,463278,Female,Yes,59,Yes,Engineer,0.0,Low,1.0,Cat_3,1.0
6408,7904,461748,Male,No,27,Yes,Healthcare,1.0,Low,5.0,Cat_6,0.0
1941,6330,465531,Female,No,40,Yes,Homemaker,9.0,Low,,Cat_6,0.0
2401,3425,465362,Female,Yes,52,Yes,Engineer,0.0,Average,4.0,Cat_6,1.0
5587,6960,466383,Male,,22,No,Healthcare,9.0,Low,3.0,Cat_4,0.0
5601,1089,462248,Male,Yes,55,No,Artist,0.0,Low,2.0,Cat_6,1.0
4318,2694,465310,Female,No,22,No,Healthcare,0.0,Low,6.0,Cat_4,0.0
270,3391,466398,Male,No,21,No,Healthcare,1.0,Low,4.0,Cat_3,0.0
1846,6260,461036,Female,No,21,No,Healthcare,1.0,Low,3.0,Cat_3,0.0
5154,4787,461683,Male,Yes,43,Yes,Executive,1.0,High,4.0,Cat_6,1.0
2219,2986,467198,Male,No,28,Yes,Healthcare,1.0,Low,5.0,Cat_6,0.0
4053,5732,465844,Female,No,46,Yes,Engineer,0.0,Low,1.0,Cat_6,0.0
1808,7505,465010,Female,No,42,Yes,Marketing,,Low,3.0,Cat_6,0.0
2618,3882,462302,Female,No,25,No,Doctor,,Low,7.0,Cat_6,0.0
4239,2740,460862,Male,Yes,52,No,Entertainment,1.0,Average,4.0,Cat_3,1.0
1078,6152,460762,Female,No,18,No,Healthcare,0.0,Low,5.0,Cat_4,0.0
616,2679,461942,Male,No,29,Yes,Healthcare,0.0,Low,6.0,Cat_6,0.0
2259,2840,460498,Male,Yes,47,No,Executive,1.0,High,2.0,Cat_3,1.0
312,4147,464756,Female,No,25,No,Engineer,5.0,Low,3.0,Cat_4,1.0
6160,6876,465578,Male,No,33,Yes,Healthcare,4.0,Low,1.0,Cat_6,0.0
3638,5458,461178,Male,Yes,33,No,Entertainment,1.0,Low,3.0,Cat_3,0.0
1138,7425,461734,Female,Yes,81,No,,,High,2.0,Cat_6,1.0
2302,1016,461962,Male,Yes,59,Yes,Entertainment,1.0,Average,3.0,Cat_6,1.0
3166,6921,460826,Female,No,32,Yes,Artist,0.0,Low,3.0,Cat_4,0.0
2483,2610,463585,Female,No,23,No,Healthcare,0.0,Low,3.0,Cat_6,0.0
240,2117,463365,Male,Yes,67,No,Executive,1.0,High,2.0,Cat_6,0.0
5810,4163,467079,Male,Yes,40,Yes,Artist,1.0,Low,2.0,Cat_6,1.0
3529,4261,464683,Male,Yes,52,No,Engineer,0.0,Average,6.0,Cat_4,1.0
2603,4252,467743,Male,Yes,48,No,Executive,1.0,High,4.0,Cat_1,1.0
1583,6013,459712,Male,No,18,No,Healthcare,,Low,4.0,Cat_6,0.0
4506,6286,461199,Female,No,85,Yes,Homemaker,4.0,Low,1.0,Cat_6,0.0
2153,2787,463726,Female,No,33,No,Healthcare,1.0,Low,3.0,Cat_6,1.0
4780,751,461951,Male,No,21,No,Healthcare,0.0,Low,4.0,Cat_6,0.0
3263,3225,460540,Female,Yes,30,No,Artist,1.0,Average,2.0,Cat_3,0.0
3431,7255,463059,Female,No,32,Yes,Homemaker,10.0,Low,1.0,Cat_6,0.0
4863,2617,466309,Male,No,21,No,Healthcare,1.0,Low,4.0,Cat_6,0.0
5556,1427,466386,Male,Yes,65,Yes,Executive,1.0,Low,2.0,Cat_4,1.0
3723,2015,462803,Male,No,26,No,Doctor,0.0,Low,6.0,Cat_2,1.0
2766,4267,464933,Male,No,25,No,,0.0,Low,1.0,Cat_4,0.0
5725,1272,464023,Male,No,22,No,Healthcare,0.0,Low,5.0,Cat_7,0.0
4602,6263,462595,Female,No,29,Yes,Artist,7.0,Low,7.0,Cat_4,0.0
4421,4718,467188,Male,Yes,55,Yes,Artist,2.0,Low,2.0,Cat_6,1.0
6360,592,463483,Male,Yes,29,No,Executive,1.0,High,2.0,Cat_6,0.0
3833,2735,463956,Female,No,28,No,Entertainment,0.0,Low,5.0,Cat_2,0.0
2844,7469,465128,Female,Yes,62,No,Artist,1.0,Average,3.0,Cat_6,1.0
3455,4984,467769,Female,No,35,Yes,Doctor,1.0,Low,1.0,Cat_3,1.0
774,5787,463336,Female,Yes,62,No,Engineer,4.0,Low,1.0,Cat_4,1.0
5323,6433,466563,Female,No,20,No,Marketing,,Low,4.0,Cat_6,0.0
3569,230,459888,Female,Yes,74,No,Lawyer,,High,2.0,Cat_6,0.0
320,636,466752,Male,Yes,37,Yes,Healthcare,0.0,Low,1.0,Cat_6,0.0
